Experiment	DPI	Individual	Gene.Control	Treatment	L.FW.hemelytra	R.FW.hemelytra	R.FW.membranous	aggregate
1	71	16	A	ap	APT-1	1	1	1	3
2	71	16	B	ap	APT-1	1	1	1	3
3	71	17	A	ap	APT-1	1	1	1	3
4	71	20	A	ap	APT-1	1	1	1	3
5	71	20	B	ap	APT-1	1	1	1	3
6	71	20	C	ap	APT-1	1	1	1	3
7	75	NS	A	ap	APT-1	0	1	0	1
8	75	NS	B	ap	APT-1	1	1	1	3
9	75	NS	C	ap	APT-1	1	1	1	3
10	75	NS	D	ap	APT-1	0	0	0	0
11	75	NS	E	ap	APT-1	1	1	1	3
12	75	NS	F	ap	APT-1	1	1	1	3
13	75	NS	G	ap	APT-1	1	1	1	3
14	75	NS	H	ap	APT-1	0	0	0	0
15	235	17	A	ap	APT-1	1	1	1	3
16	235	17	B	ap	APT-1	1	1	1	3
17	235	17	C	ap	APT-1	1	1	1	3
18	235	17	D	ap	APT-1	1	1	0	2
19	235	17	E	ap	APT-1	1	1	1	3
20	235	17	F	ap	APT-1	1	1	1	3
21	235	17	G	ap	APT-1	1	1	1	3
22	235	17	H	ap	APT-1	1	1	1	3
23	235	18	A	ap	APT-1	1	1	1	3
24	235	18	B	ap	APT-1	1	1	1	3
25	235	18	C	ap	APT-1	1	1	1	3
26	235	19	A	ap	APT-1	1	1	1	3
27	235	19	B	ap	APT-1	1	1	1	3
28	235	19	C	ap	APT-1	1	1	1	3
29	235	19	D	ap	APT-1	1	1	1	3
30	235	20	A	ap	APT-1	1	1	1	3
31	235	20	B	ap	APT-1	1	1	1	3
32	235	21	A	ap	APT-1	1	1	1	3
33	112	13	A	ap	APT-1.(degraded)	0	0	0	0
34	112	13	B	ap	APT-1.(degraded)	0	0	0	0
35	112	13	C	ap	APT-1.(degraded)	0	0	0	0
36	112	13	D	ap	APT-1.(degraded)	0	0	0	0
37	112	14	A	ap	APT-1.(degraded)	0	0	0	0
38	112	14	B	ap	APT-1.(degraded)	0	0	0	0
39	112	14	C	ap	APT-1.(degraded)	0	0	0	0
40	112	15	A	ap	APT-1.(degraded)	0	0	0	0
41	112	15	B	ap	APT-1.(degraded)	0	0	0	0
42	112	15	C	ap	APT-1.(degraded)	0	0	0	0
43	112	16	A	ap	APT-1.(degraded)	0	0	0	0
44	112	17	A	ap	APT-1.(degraded)	0	0	0	0
45	91	14	A	ap	APT-2	0	0	1	1
46	91	14	B	ap	APT-2	0	0	0	0
47	91	14	C	ap	APT-2	0	0	0	0
48	91	14	D	ap	APT-2	0	0	1	1
49	91	14	E	ap	APT-2	0	0	0	0
50	91	15	A	ap	APT-2	0	0	0	0
51	91	15	B	ap	APT-2	0	0	1	1
52	98	11	A	ap	APT-2	1	1	1	3
53	98	11	B	ap	APT-2	1	1	1	3
54	98	11	C	ap	APT-2	1	1	1	3
55	98	12	A	ap	APT-2	1	1	1	3
56	98	12	B	ap	APT-2	1	1	1	3
57	98	14	A	ap	APT-2	1	1	1	3
58	98	14	B	ap	APT-2	1	1	1	3
59	98	14	C	ap	APT-2	1	1	1	3
