Gene.or.Control	Total	ScLobes	ScLobes.Freq	Collar	Collar.Freq	Pronotum	Pronotum.Freq	PronPlJunction	PronPlJunction.Freq	Forewings	Forewings.Freq	Hindwings	Hindwings.Freq	Wings.either	Wings.either.Freq	Scutellum	Scutellum.Freq	Wing.Hinges	Wing.Hinges.Freq	Pleural.Margins	Pleural.Margins.Freq
1	ap	86	10	0.12	20	0.23	63	0.73	40	0.47	69	0.8	53	0.62	69	0.8	70	0.81	59	0.69	54	0.63
2	control	319	3	0.01	6	0.02	11	0.03	3	0.01	9	0.03	14	0.04	18	0.06	14	0.04	7	0.02	7	0.02
3	hth	76	54	0.71	51	0.67	58	0.76	57	0.75	22	0.29	36	0.47	39	0.51	62	0.82	40	0.53	56	0.74
4	iro	54	13	0.24	6	0.11	17	0.31	1	0.02	3	0.06	NA	NA	3	0.06	17	0.31	NA	NA	2	0.04
5	mir	37	7	0.19	10	0.27	35	0.95	26	0.7	22	0.59	24	0.65	26	0.7	34	0.92	25	0.68	36	0.97
6	nub	51	46	0.9	11	0.22	29	0.57	15	0.29	47	0.92	43	0.84	47	0.92	20	0.39	33	0.65	45	0.88
7	srf	52	46	0.88	46	0.88	49	0.94	47	0.9	48	0.92	38	0.73	48	0.92	49	0.94	43	0.83	48	0.92
8	tio	50	41	0.82	45	0.9	43	0.86	38	0.76	29	0.58	28	0.56	31	0.62	47	0.94	40	0.8	42	0.84
9	tup	59	1	0.02	18	0.31	31	0.53	10	0.17	10	0.17	7	0.12	13	0.22	51	0.86	1	0.02	9	0.15
10	ush	46	NA	NA	8	0.17	27	0.59	11	0.24	10	0.22	7	0.15	10	0.22	22	0.48	9	0.2	21	0.46
11	vg	48	2	0.04	3	0.06	46	0.96	29	0.6	30	0.62	39	0.81	39	0.81	47	0.98	44	0.92	42	0.88
12	zfp	5	5	1	2	0.4	4	0.8	4	0.8	NA	NA	4	0.8	4	0.8	NA	NA	2	0.4	3	0.6
