Gene.Control	Total	ScLobes	Collar	Pronotum	PronPlJunction	Forewings	Hindwings	Wings	Scutellum	WingHinges	PleuralMargins
1	ap	86	10	20	63	40	69	53	69	70	59	54
2	control	319	3	6	11	3	9	14	18	14	7	7
3	hth	76	54	51	58	57	22	36	39	62	40	56
4	iro	54	13	6	17	1	3	NA	3	17	NA	2
5	mir	37	7	10	35	26	22	24	26	34	25	36
6	nub	51	46	11	29	15	47	43	47	20	33	45
7	srf	52	46	46	49	47	48	38	48	49	43	48
8	tio	50	41	45	43	38	29	28	31	47	40	42
9	tup	59	1	18	31	10	10	7	13	51	1	9
10	ush	46	NA	8	27	11	10	7	10	22	9	21
11	vg	48	2	3	46	29	30	39	39	47	44	42
12	zfp	5	5	2	4	4	NA	4	4	NA	2	3
