Experiment	DPI	Individual	Storage.Box	Gene/Control	Treatment	Concentration.ug/ul	Stage.Injected	Stage.Scored	Gula	Eyes	Labium	Beak	Stylets	Antenae	Scapes	Pedicels	A1	A2	A3	Collar	Pronotum	D.T1.Posterior.margin.central	D.T1.Posterior.margin.corners	Scutellar.lobe	Mesonotum	Metanotum	T1.LL.leg	Pl.lobes1	Pn.Pl.Junction	Pos.Pl1	T1.LL.supracoxal.lobes	T1.LL.posterior.pleural.margin	T1 LL pronotum pleural junction	T1 RL leg	T1 RL supracoxal lobes	T1 RL posterior pleural margin	T1 RL pronotum pleural junction	T2 LL leg	Pl.lobes2	Pos.Pl2	T2.LL.supracoxal.lobes	T2.LL.posterior.pleural.margin	T2.L.wing.base	T2.RL.leg	T2.RL.supracoxal.lobes	T2.RL.posterior.pleural.margin	T2.R.wing.base	T3.LL.leg	Sc.Gland	Pos.Pl.3	T3.LL.post.pleural.margin	T3.LL.scent.gland	T3.LL.wing.base	T3.RL.leg	T3.RL.post.pleural.margin	T3.RL.scent.gland	T3.RL.wing.base	Metasternum	V.T1.sternum	V.T2.sternum	V.T3.sternum	Abd.Ventral	Notch.F	Genitals	Sex	Abd.Dorsal	Anal.tube	L.FW.hemelytra	L.FW.membranous	Wing.hinges	Wing.sclerites	T2.FW.L.Hinge.Area	T2.FW.L.Axillary.sclerites	L.HW	T3.HW.L.Wing.blade	T3.HW.L.Hinge.Area	T3.HW.L.Axillary.sclerites	R.FW.hemelytra	R.FW.membranous	T2.FW.R.Hinge.Area	T2.FW.R.Axillary.sclerites	R.HW	T3.HW.R.Wing.blade	T3.HW.R.Hinge.Area	T3.HW.R.Axillary.sclerites	Old.ID	Notes	Severity	Abnormal	How.Informative	Wing.Phenotypic	Wing.Bin	Pronotum.Phenotype	Pronotum.Bin	Pleural.Margins	Pleural.Margin.Bin	Supracoxal.lobes	Supracoxal.lobes.Bin
71	16	A	NA	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	NA	0	0	0	0	0	1	1	NA	NA	1	NS	NS	NA	NS	NS	NS	NA	NA	NA	NA	NA	NA	NA	NA	NS	NS	NA	NA	NA	NA	NA	NA	NA	NA	NS	NS	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	NS	NS	NS	NS	NS	NS	1	1	NS	NS	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	71.16A	Get photos	9	1	18	6	1	2	TRUE	0	TRUE	0	TRUE
71	16	B	NA	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	NA	0	0	0	0	0	0	1	NA	NA	1	NS	NS	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	NS	NS	NS	NS	NS	NS	1	1	NS	NS	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	71.16B	NA	9	1	25	6	1	1	TRUE	0	TRUE	0	TRUE
71	17	A	NA	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	NA	0	0	0	0	0	1	1	NA	NA	1	NS	0	NA	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	0	0	F	0	0	1	1	NS	NS	NA	NA	0	NA	NA	NA	1	1	NA	NA	0	NA	NA	NA	71.17A	"NA the prn/pl junction (""webbing""), and scutellum knob is much reduced, with a cleft forming at the tip"	9	1	31	4	1	2	TRUE	1	TRUE	0	TRUE
71	20	A	NA	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	NA	0	0	0	0	0	1	1	NA	NA	1	NS	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	NA	0	M	0	0	1	1	NS	NS	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	71.20A	"pn has ""shelf"" look"	9	1	30	6	1	2	TRUE	0	TRUE	0	TRUE
71	20	B	NA	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	NA	0	0	0	0	0	1	1	NA	NA	1	NS	0	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	NA	0	M	0	0	1	1	NS	NS	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	71.20B	NA	10	1	30	6	1	2	TRUE	0	TRUE	0	TRUE
71	20	C	NA	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	NA	0	0	0	0	0	1	1	NA	NA	1	NS	NS	NA	NS	NS	NS	NA	NA	NA	NA	NA	NA	NA	NA	NS	NS	NA	NA	NA	NA	NA	NA	NA	NA	NS	NS	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	NS	NS	NS	NS	NS	NS	1	1	NS	NS	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	71.20C	"very thin, severe"	9	1	18	6	1	2	TRUE	0	TRUE	0	TRUE
75	NS	A	NA	ap	APT-1	4.5	L5	adult	NS	NS	NS	NS	NS	NA	NS	NS	NS	NS	NS	0	0	NA	NA	0	NS	0	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	0	0	F	0	0	0	0	NS	NS	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	75.A	"Not really phenotypic. Slight opening of coxal cleft, T1 and T2"	3	1	22	1	1	0	TRUE	0	TRUE	2	TRUE
75	NS	B	NA	ap	APT-1	4.5	L5	adult	NS	NS	NS	NS	NS	NA	NS	NS	NS	NS	NS	NS	1	NA	NA	0	NS	NS	NA	NS	NS	NS	NA	NA	NA	NA	NA	NA	NA	NA	NS	NS	NA	NA	NA	NA	NA	NA	NA	NA	NS	NS	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	NS	NS	NS	NS	NS	NS	1	1	NS	NS	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	75.B	mild - window in center of wing	7	1	8	6	1	1	TRUE	0	TRUE	0	TRUE
75	NS	C	NA	ap	APT-1	4.5	L5	adult	NS	NS	NS	NS	NS	NA	NS	NS	NS	NS	NS	1	1	NA	NA	0	NS	0	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	NA	0	M	0	0	1	1	NS	NS	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	75.C	Very thin wings. Mild reduction of prn/pl junction. Retraction of dorsal collar from head.	9	1	21	6	1	2	TRUE	0	TRUE	0	TRUE
75	NS	D	NA	ap	APT-1	4.5	L5	adult	NS	NS	NS	NS	NS	NA	NS	NS	NS	NS	NS	1	0	NA	NA	0	NS	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	NA	0	m	0	0	0	0	NS	NS	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	75.D	Not really phenotypic.	1	1	21	0	0	1	TRUE	0	TRUE	0	TRUE
